,Date,Open,High,Low,Close,Adj Close,Volume,,
03/06/2021,72,37599.41016,39478.95313,37243.97266,39208.76563,39208.76563,35460750427,,1
05/06/2021,74,36880.15625,37917.71484,34900.41406,35551.95703,35551.95703,35959473399,,1
07/06/2021,76,35835.26563,36790.57031,33480.64063,33560.70703,33560.70703,33683936663,,1
09/06/2021,78,33416.97656,37537.37109,32475.86523,37345.12109,37345.12109,53972919008,,1
11/06/2021,80,36697.03125,37608.69531,36044.44922,37334.39844,37334.39844,38699736985,,1
13/06/2021,82,35555.78906,39322.78125,34864.10938,39097.85938,39097.85938,40669112838,,1
15/06/2021,84,40427.16797,41295.26953,39609.46875,40406.26953,40406.26953,46420149185,,1
17/06/2021,86,38341.42188,39513.67188,37439.67578,38053.50391,38053.50391,37096670047,,1
19/06/2021,88,35854.52734,36457.79688,34933.0625,35615.87109,35615.87109,31207279719,,1
21/06/2021,90,35641.14453,35721.64063,31295.93555,31676.69336,31676.69336,52809038594,,1
23/06/2021,92,32515.71484,34753.41016,31772.63281,33723.02734,33723.02734,46317108925,,1
25/06/2021,94,34659.10547,35487.24609,31350.88477,31637.7793,31637.7793,40230904226,,1
27/06/2021,96,32287.52344,34656.12891,32071.75781,34649.64453,34649.64453,35511640894,,1
29/06/2021,98,34475.55859,36542.10938,34252.48438,35867.77734,35867.77734,37901460044,,1
01/07/2021,100,35035.98438,35035.98438,32883.78125,33572.11719,33572.11719,37838957079,,1
03/07/2021,102,33854.42188,34909.26172,33402.69531,34668.54688,34668.54688,24383958643,,1
05/07/2021,104,35284.34375,35284.34375,33213.66016,33746.00391,33746.00391,26721554282,,1
07/07/2021,106,34225.67969,34997.66406,33839.28906,33855.32813,33855.32813,24796027477,,1
09/07/2021,108,32861.67188,34042.29297,32318.88086,33798.01172,33798.01172,27436021028,,1
11/07/2021,110,33509.07813,34584.70313,33346.73828,34240.1875,34240.1875,20108729370,,1
13/07/2021,112,33125.46875,33327.10156,32261.41992,32702.02539,32702.02539,19120856669,,1
15/07/2021,114,32827.875,33159.64063,31175.70898,31780.73047,31780.73047,21300524237,,1
17/07/2021,116,31397.30859,31935.94531,31223.99023,31533.06836,31533.06836,18895018942,,1
19/07/2021,118,31800.01172,31885.85938,30563.73438,30817.83203,30817.83203,20434789545,,1
21/07/2021,120,29796.28516,32752.32617,29526.18359,32110.69336,32110.69336,28203024559,,1
23/07/2021,122,32305.95898,33581.55078,32057.89258,33581.55078,33581.55078,22552046192,,1
25/07/2021,124,34290.29297,35364.92578,33881.83594,35350.1875,35350.1875,20856685287,,1
27/07/2021,126,37276.03516,39406.94141,36441.72656,39406.94141,39406.94141,35097370560,,1
29/07/2021,128,39995.45313,40593.07031,39352.05859,40008.42188,40008.42188,27167146027,,1
31/07/2021,130,42196.30469,42231.44922,41110.83203,41626.19531,41626.19531,25802845343,,1
02/08/2021,132,39907.26172,40419.17969,38746.34766,39201.94531,39201.94531,25595265436,,1
04/08/2021,134,38213.33203,39952.29688,37589.16406,39747.50391,39747.50391,25372562724,,1
06/08/2021,136,40865.86719,43271.66016,39932.17969,42816.5,42816.5,38226483046,,1
08/08/2021,138,44574.4375,45282.35156,43331.91016,43798.11719,43798.11719,36302664750,,1
10/08/2021,140,46280.84766,46637.98828,44705.55469,45585.03125,45585.03125,33546019517,,1
12/08/2021,142,45576.87891,46228.91016,43861.44531,44428.28906,44428.28906,33723620826,,1
14/08/2021,144,47810.6875,48098.68359,46177.63281,47096.94531,47096.94531,31211354442,,1
16/08/2021,146,47019.96094,47998.09766,45700.32031,46004.48438,46004.48438,32776876610,,1
18/08/2021,148,44686.75,45952.0625,44364.02734,44801.1875,44801.1875,32194123075,,1
20/08/2021,150,46723.12109,49342.15234,46650.70703,49339.17578,49339.17578,34706867452,,1
22/08/2021,152,48869.10547,49471.60938,48199.94141,49321.65234,49321.65234,25370975378,,1
24/08/2021,154,49562.34766,49878.76953,47687.11719,47706.11719,47706.11719,35361168834,,1
26/08/2021,156,49002.64063,49347.58203,46405.78125,46942.21875,46942.21875,32666549568,,1
28/08/2021,158,49072.58594,49283.50391,48499.23828,48902.40234,48902.40234,28568103401,,1
30/08/2021,160,48834.85156,48925.60547,46950.27344,47054.98438,47054.98438,31847007016,,1
01/09/2021,162,47099.77344,49111.08984,46562.4375,48847.02734,48847.02734,39139399125,,1
03/09/2021,164,49288.25,50982.27344,48386.08594,50025.375,50025.375,43206179619,,1
05/09/2021,166,49937.85938,51868.67969,49538.59766,51753.41016,51753.41016,30322676319,,1
07/09/2021,168,52660.48047,52853.76563,43285.20703,46811.12891,46811.12891,65210059683,,1
09/09/2021,170,45774.74219,47261.94922,45669.73828,46391.42188,46391.42188,38672657013,,1
11/09/2021,172,44869.83984,45969.29297,44818.26563,45201.45703,45201.45703,34499835245,,1
13/09/2021,174,46057.21484,46598.67969,43591.32031,44963.07422,44963.07422,40969943253,,1
15/09/2021,176,47098,48450.46875,46773.32813,48176.34766,48176.34766,30484496466,,1
17/09/2021,178,47771.00391,48160.92188,46832.52344,47267.51953,47267.51953,28727713711,,1
19/09/2021,180,48268.85547,48328.36719,46919.80469,47260.21875,47260.21875,26967722648,,1
21/09/2021,182,43012.23438,43607.60938,39787.60938,40693.67578,40693.67578,48701090088,,1
23/09/2021,184,43560.29688,44942.17578,43109.33984,44895.09766,44895.09766,34244064430,,1
25/09/2021,186,42840.89063,42996.25781,41759.92188,42716.59375,42716.59375,31604717236,,1
27/09/2021,188,43234.18359,44313.24609,42190.63281,42235.73047,42235.73047,30980029059,,1
29/09/2021,190,41064.98438,42545.25781,40829.66797,41564.36328,41564.36328,30602359905,,1
