Date,Open,High,Low,Close,Adj Close,Volume
24/03/2021,54710.48828,57262.38281,52514.33203,52774.26563,52774.26563,70567223787
26/03/2021,51683.01172,55137.3125,51579.85547,55137.3125,55137.3125,56652197978
28/03/2021,55974.94141,56610.3125,55071.11328,55950.74609,55950.74609,47686580918
30/03/2021,57750.13281,59447.22266,57251.55078,58917.69141,58917.69141,54414116432
01/04/2021,58926.5625,59586.07031,58505.27734,59095.80859,59095.80859,61669163792
03/04/2021,59397.41016,60110.26953,57603.89063,57603.89063,57603.89063,59641344484
05/04/2021,58760.875,59891.29688,57694.82422,59057.87891,59057.87891,60706272115
07/04/2021,58186.50781,58731.14453,55604.02344,56048.9375,56048.9375,75645303584
09/04/2021,58326.5625,58937.04688,57807.86328,58245.00391,58245.00391,46655208546
11/04/2021,59846.23047,60790.55469,59289.79688,60204.96484,60204.96484,46280252580
13/04/2021,59890.01953,63742.28516,59869.95703,63503.45703,63503.45703,69983454362
15/04/2021,63075.19531,63821.67188,62208.96484,63314.01172,63314.01172,60954381579
17/04/2021,61529.92188,62572.17578,60361.35156,60683.82031,60683.82031,66138759198
19/04/2021,56191.58594,57520.05469,54368.59375,55724.26563,55724.26563,65344865159
21/04/2021,56471.12891,56757.97266,53695.46875,53906.08984,53906.08984,54926612466
23/04/2021,51739.80859,52120.79297,47714.66406,51093.65234,51093.65234,86668667320
25/04/2021,50052.83203,50506.01953,47159.48438,49004.25391,49004.25391,46117114240
27/04/2021,54030.30469,55416.96484,53319.1875,55033.11719,55033.11719,49448222757
29/04/2021,54858.08984,55115.84375,52418.02734,53555.10938,53555.10938,46088929780
01/05/2021,57714.66406,58448.33984,57052.27344,57828.05078,57828.05078,42836427360
03/05/2021,56620.27344,58973.30859,56590.87109,57200.29297,57200.29297,51713139031
05/05/2021,53252.16406,57911.36328,52969.05469,57424.00781,57424.00781,69241316747
07/05/2021,56413.95313,58606.63281,55321.84766,57356.40234,57356.40234,68434023376
09/05/2021,58877.39063,59210.88281,56482.00391,58232.31641,58232.31641,65906690347
11/05/2021,55847.24219,56872.54297,54608.65234,56704.57422,56704.57422,61308396325
13/05/2021,49735.43359,51330.84375,46980.01953,49716.19141,49716.19141,96721152926
15/05/2021,49855.49609,50639.66406,46664.14063,46760.1875,46760.1875,59161047474
17/05/2021,46415.89844,46623.55859,42207.28906,43537.51172,43537.51172,74903638450
19/05/2021,42944.97656,43546.11719,30681.49609,37002.44141,37002.44141,1.26358E+11
21/05/2021,40596.94922,42172.17188,33616.45313,37304.69141,37304.69141,82051616861
23/05/2021,37531.44922,38289.21875,31227.33984,34770.58203,34770.58203,78469274361
25/05/2021,38795.78125,39776.35156,36581.42969,38402.22266,38402.22266,56211915803
27/05/2021,39316.89063,40379.61719,37247.90234,38436.96875,38436.96875,43210968721
29/05/2021,35684.15625,37234.5,33693.92969,34616.06641,34616.06641,45231013335
